Time - Stamp,IP Address,API-Endpoint,System Details,Parsed Timestamp,Method,Endpoint,Status Code,Browser,Operating System
[19/Mar/2025:18:57:33 +0000],127.0.0.5,OPTIONS /email_configuration/audit/get_all 200 OK,Safari/2.2.4 (Windows XP),2025-03-19 18:57:33,OPTIONS,/email_configuration/audit/get_all,200,Safari/2.2.4,Windows XP
[19/Mar/2025:19:00:18 +0530],127.0.0.3,POST /email_configuration/test 403 Forbidden,UNKNOWN (Windows 10),2025-03-19 19:00:18,POST,/email_configuration/test,403,UNKNOWN,Windows 10
[19/Mar/2025:19:04:31 +0200],127.0.0.4,OPTIONS /get_email_configuration 500 Internal Server Error,Safari/2.2.4 (Linux Kernel 5.15),2025-03-19 19:04:31,OPTIONS,/get_email_configuration,500,Safari/2.2.4,Linux Kernel 5.15
[19/Mar/2025:19:08:31 +0200],127.0.0.4,GET /email_configuration/test 404 Not Found,UNKNOWN (Windows 11),2025-03-19 19:08:31,GET,/email_configuration/test,404,UNKNOWN,Windows 11
[19/Mar/2025:19:10:24 +0200],127.0.0.4,POST /email_configuration/test 404 Not Found,Mozilla/39.0 (UNKNOWN),2025-03-19 19:10:24,POST,/email_configuration/test,404,Mozilla/39.0,UNKNOWN
[19/Mar/2025:19:12:45 +0530],127.0.0.3,PUT /get_all_email_configuration 403 Forbidden,Safari/2.2.4 (Linux Kernel 6.0),2025-03-19 19:12:45,PUT,/get_all_email_configuration,403,Safari/2.2.4,Linux Kernel 6.0
[19/Mar/2025:19:19:01 +0530],127.0.0.3,OPTIONS /enable_poller 200 OK,Safari/2.2.4 (Windows 10),2025-03-19 19:19:01,OPTIONS,/enable_poller,200,Safari/2.2.4,Windows 10
[19/Mar/2025:19:19:20 +0530],127.0.0.2,OPTIONS /update_email_configuration 403 Forbidden,Mozilla/39.0 (Linux Kernel 5.15),2025-03-19 19:19:20,OPTIONS,/update_email_configuration,403,Mozilla/39.0,Linux Kernel 5.15
[19/Mar/2025:19:24:32 +0530],127.0.0.2,GET /disable_poller 500 Internal Server Error,Safari/2.2.4 (UNKNOWN),2025-03-19 19:24:32,GET,/disable_poller,500,Safari/2.2.4,UNKNOWN
[19/Mar/2025:19:26:54 +0000],127.0.0.2,OPTIONS /update_email_configuration 300 Redirect,Mozilla/12.0 (Windows XP),2025-03-19 19:26:54,OPTIONS,/update_email_configuration,300,Mozilla/12.0,Windows XP
[19/Mar/2025:19:28:52 -0500],127.0.0.4,POST /enable_poller 502 Bad Gateway,Safari/2.2.4 (Ubuntu 20.04),2025-03-19 19:28:52,POST,/enable_poller,502,Safari/2.2.4,Ubuntu 20.04
[19/Mar/2025:19:33:21 +0000],127.0.0.4,POST /get_all_email_configuration 400 Bad Request,Safari/2.2.4 (UNKNOWN),2025-03-19 19:33:21,POST,/get_all_email_configuration,400,Safari/2.2.4,UNKNOWN
[19/Mar/2025:19:35:07 +0000],127.0.0.4,GET /enable_poller 202 OK,Mozilla/52.9 (UNKNOWN),2025-03-19 19:35:07,GET,/enable_poller,202,Mozilla/52.9,UNKNOWN
[19/Mar/2025:19:37:14 +0200],127.0.0.4,PUT /disable_poller 401 Unauthorized,Safari/2.2.4 (Windows 11),2025-03-19 19:37:14,PUT,/disable_poller,401,Safari/2.2.4,Windows 11
[19/Mar/2025:19:37:31 +0000],127.0.0.1,GET /disable_poller 200 OK,Chrome/67.1 (Mac OS Ventura),2025-03-19 19:37:31,GET,/disable_poller,200,Chrome/67.1,Mac OS Ventura
[19/Mar/2025:19:42:51 -0700],127.0.0.3,GET /create_email_configuration 202 OK,Chrome/45.3 (Ubuntu 20.04),2025-03-19 19:42:51,GET,/create_email_configuration,202,Chrome/45.3,Ubuntu 20.04
[19/Mar/2025:19:46:01 +0530],127.0.0.4,GET /get_all_email_configuration 404 Not Found,Safari/2.2.4 (Windows 11),2025-03-19 19:46:01,GET,/get_all_email_configuration,404,Safari/2.2.4,Windows 11
[19/Mar/2025:19:46:37 -0500],127.0.0.4,OPTIONS /email_configuration/audit/get_all 401 Unauthorized,UNKNOWN (UNKNOWN),2025-03-19 19:46:37,OPTIONS,/email_configuration/audit/get_all,401,UNKNOWN,UNKNOWN
[19/Mar/2025:19:52:23 +0000],127.0.0.5,POST /get_all_email_configuration 502 Bad Gateway,Mozilla/25.3 (UNKNOWN),2025-03-19 19:52:23,POST,/get_all_email_configuration,502,Mozilla/25.3,UNKNOWN
[19/Mar/2025:19:56:13 -0500],127.0.0.1,POST /create_email_configuration 500 Internal Server Error,Mozilla/5.0 (Linux Kernel 6.0),2025-03-19 19:56:13,POST,/create_email_configuration,500,Mozilla/5.0,Linux Kernel 6.0
[19/Mar/2025:20:00:03 +0530],127.0.0.2,OPTIONS /enable_poller 401 Unauthorized,Safari/2.2.4 (Windows 7),2025-03-19 20:00:03,OPTIONS,/enable_poller,401,Safari/2.2.4,Windows 7
[19/Mar/2025:20:00:10 +0200],127.0.0.1,POST /get_email_configuration 300 Redirect,Safari/2.2.4 (UNKNOWN),2025-03-19 20:00:10,POST,/get_email_configuration,300,Safari/2.2.4,UNKNOWN
[19/Mar/2025:20:03:03 +0200],127.0.0.4,GET /create_email_configuration 403 Forbidden,Mozilla/52.9 (Linux Kernel 5.15),2025-03-19 20:03:03,GET,/create_email_configuration,403,Mozilla/52.9,Linux Kernel 5.15
[19/Mar/2025:20:09:33 +0530],127.0.0.5,GET /email_configuration/unseen/get 403 Forbidden,Mozilla/12.0 (Mac OS Sequoia),2025-03-19 20:09:33,GET,/email_configuration/unseen/get,403,Mozilla/12.0,Mac OS Sequoia
[19/Mar/2025:20:14:07 +0000],127.0.0.2,POST /get_all_email_configuration 202 OK,Chrome/2.1 (Ubuntu 22.04),2025-03-19 20:14:07,POST,/get_all_email_configuration,202,Chrome/2.1,Ubuntu 22.04
[19/Mar/2025:20:15:49 -0700],127.0.0.2,GET /get_all_email_configuration 401 Unauthorized,Mozilla/25.3 (Linux Kernel 5.15),2025-03-19 20:15:49,GET,/get_all_email_configuration,401,Mozilla/25.3,Linux Kernel 5.15
[19/Mar/2025:20:19:39 -0700],127.0.0.2,GET /create_email_configuration 403 Forbidden,UNKNOWN (Linux Kernel 5.15),2025-03-19 20:19:39,GET,/create_email_configuration,403,UNKNOWN,Linux Kernel 5.15
[19/Mar/2025:20:21:44 +0530],127.0.0.2,PUT /enable_poller 502 Bad Gateway,Safari/2.2.4 (UNKNOWN),2025-03-19 20:21:44,PUT,/enable_poller,502,Safari/2.2.4,UNKNOWN
[19/Mar/2025:20:24:08 +0200],127.0.0.2,PUT /email_configuration/unseen/get 404 Not Found,Mozilla/12.0 (Linux Kernel 5.15),2025-03-19 20:24:08,PUT,/email_configuration/unseen/get,404,Mozilla/12.0,Linux Kernel 5.15
[19/Mar/2025:20:30:06 -0500],127.0.0.5,PUT /disable_poller 403 Forbidden,UNKNOWN (Ubuntu 20.04),2025-03-19 20:30:06,PUT,/disable_poller,403,UNKNOWN,Ubuntu 20.04
[19/Mar/2025:20:31:58 +0000],127.0.0.2,OPTIONS /update_email_configuration 202 OK,Mozilla/39.0 (Ubuntu 20.04),2025-03-19 20:31:58,OPTIONS,/update_email_configuration,202,Mozilla/39.0,Ubuntu 20.04
[19/Mar/2025:20:36:53 +0200],127.0.0.3,OPTIONS /create_email_configuration 300 Redirect,Chrome/117.2 (Linux Kernel 5.15),2025-03-19 20:36:53,OPTIONS,/create_email_configuration,300,Chrome/117.2,Linux Kernel 5.15
[19/Mar/2025:20:41:41 -0500],127.0.0.3,PUT /get_all_email_configuration 404 Not Found,UNKNOWN (Linux Kernel 5.15),2025-03-19 20:41:41,PUT,/get_all_email_configuration,404,UNKNOWN,Linux Kernel 5.15
[19/Mar/2025:20:43:14 -0500],127.0.0.1,POST /disable_poller 500 Internal Server Error,Chrome/3.0 (UNKNOWN),2025-03-19 20:43:14,POST,/disable_poller,500,Chrome/3.0,UNKNOWN
[19/Mar/2025:20:46:21 -0700],127.0.0.4,GET /email_configuration/unseen/get 401 Unauthorized,UNKNOWN (Windows 7),2025-03-19 20:46:21,GET,/email_configuration/unseen/get,401,UNKNOWN,Windows 7
[19/Mar/2025:20:51:10 -0500],127.0.0.2,OPTIONS /update_email_configuration 300 Redirect,Chrome/22.0 (UNKNOWN),2025-03-19 20:51:10,OPTIONS,/update_email_configuration,300,Chrome/22.0,UNKNOWN
[19/Mar/2025:20:52:22 -0700],127.0.0.4,GET /create_email_configuration 403 Forbidden,Safari/2.2.4 (Mac OS Ventura),2025-03-19 20:52:22,GET,/create_email_configuration,403,Safari/2.2.4,Mac OS Ventura
[19/Mar/2025:20:54:06 +0530],127.0.0.2,PUT /get_email_configuration 502 Bad Gateway,Safari/2.2.4 (Linux Kernel 5.15),2025-03-19 20:54:06,PUT,/get_email_configuration,502,Safari/2.2.4,Linux Kernel 5.15
[19/Mar/2025:20:56:45 +0000],127.0.0.2,OPTIONS /email_configuration/unseen/get 502 Bad Gateway,Safari/2.2.4 (Ubuntu 20.04),2025-03-19 20:56:45,OPTIONS,/email_configuration/unseen/get,502,Safari/2.2.4,Ubuntu 20.04
[19/Mar/2025:20:58:59 -0700],127.0.0.2,GET /enable_poller 502 Bad Gateway,Safari/2.2.4 (Ubuntu 22.04),2025-03-19 20:58:59,GET,/enable_poller,502,Safari/2.2.4,Ubuntu 22.04
[19/Mar/2025:21:02:58 -0700],127.0.0.5,PUT /create_email_configuration 300 Redirect,UNKNOWN (Mac OS Sequoia),2025-03-19 21:02:58,PUT,/create_email_configuration,300,UNKNOWN,Mac OS Sequoia
[19/Mar/2025:21:04:43 +0200],127.0.0.2,GET /email_configuration/audit/get_all 401 Unauthorized,Chrome/4.2 (Mac OS Sequoia),2025-03-19 21:04:43,GET,/email_configuration/audit/get_all,401,Chrome/4.2,Mac OS Sequoia
[19/Mar/2025:21:08:38 -0500],127.0.0.1,POST /enable_poller 502 Bad Gateway,Chrome/22.0 (Windows XP),2025-03-19 21:08:38,POST,/enable_poller,502,Chrome/22.0,Windows XP
[19/Mar/2025:21:10:13 -0700],127.0.0.4,PUT /get_all_email_configuration 401 Unauthorized,UNKNOWN (Linux Kernel 6.0),2025-03-19 21:10:13,PUT,/get_all_email_configuration,401,UNKNOWN,Linux Kernel 6.0
